,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
3991,Cutting Edge Medical Diagnostics,"Sr. Data Scientist / Machine Learning (In-vitro dx, Imaging)",Seattle,WA,140000.0,,140000.0
4083,State of Washington,TMDL Lead (Environmental Specialist 4),Bellevue,WA,48060.0,63036.0,55548.0
4182,Lighthouse Recruiting,Variant Scientist (Remote),Seattle,WA,90000.0,100000.0,95000.0
4261,LIBERTY MUTUAL GROUP,"Assistant Director, Data Science",Seattle,WA,109900.0,126100.0,118000.0
4419,Harvey Nash USA,Data Scientist - Engineering,Seattle,WA,120000.0,130000.0,125000.0
4451,VA Tourism Authority,Research Analyst #0011-2016,Richmond,VA,45000.0,,45000.0
4456,Virginia Tourism Corporation,Research Analyst,Richmond,VA,45000.0,,45000.0
4781,VA Tourism Authority,Research Analyst #0011-2016,Richmond,VA,45000.0,,45000.0
4786,Virginia Tourism Corporation,Research Analyst,Richmond,VA,45000.0,,45000.0
4871,VA Tourism Authority,Research Analyst #0011-2016,Richmond,VA,45000.0,,45000.0
4876,Virginia Tourism Corporation,Research Analyst,Richmond,VA,45000.0,,45000.0
5051,VA Tourism Authority,Research Analyst #0011-2016,Richmond,VA,45000.0,,45000.0
5056,Virginia Tourism Corporation,Research Analyst,Richmond,VA,45000.0,,45000.0
5219,Veredus,Data Scientist,Raleigh,NC,100000.0,120000.0,110000.0
5247,North Carolina Office of State Human Resources,Natural Science Research Curator II,WakeCounty,NC,42667.0,69177.0,55922.0
5259,ZP Group,Senior Statistical Programmer,Durham,NC,90000.0,120000.0,105000.0
5278,All-In Analytics,Senior Machine Learning Data Scientist,ResearchTrianglePark,NC,140000.0,160000.0,150000.0
5335,Modis,"Application Developer Direct Hire Job in Raleigh, Nc",Durham,NC,75000.0,95000.0,85000.0
5417,University of North Carolina,Research Technician (Jones' Lab),ChapelHill,NC,39000.0,42000.0,40500.0
5458,University of North Carolina,Research Technician,ChapelHill,NC,31000.0,40000.0,35500.0
5471,North Carolina State University,Post Doctoral Scientist in Computational Genomics,Raleigh,NC,40000.0,,40000.0
5497,North Carolina State University,Sweet Potato Research Technician,Raleigh,NC,24190.0,60588.0,42389.0
5932,University of Miami,Assistant Scientist,CoralGables,FL,53900.0,96900.0,75400.0
5940,University of Miami,(Temporary) Research Analyst,CoralGables,FL,38750.0,62000.0,50375.0
5946,University of Miami,Sr. Research Analyst,CoralGables,FL,40000.0,72000.0,56000.0
5947,University of Miami,Assistant Scientist/Postdoctoral Associate,CoralGables,FL,53900.0,65000.0,59450.0
5951,The Bachrach Group,Quantitative Financial Analyst,MiamiLakes,FL,80000.0,,80000.0
5962,University of Miami,Lead Research Analyst (Biostatistics),CoralGables,FL,77600.0,108600.0,93100.0
5970,University of Miami,Research Analyst,CoralGables,FL,32900.0,59100.0,46000.0
