,Company Name,Job Title,Location,Salary
171,Synovus,Customer Insights Analyst II,"Atlanta, GA 30305 (Buckhead area)",
172,SearchBankingJobs,Lead Quantitative Analyst,"Atlanta, GA","$150,000 - $205,000 a year"
173,ADP,Lead Application Developer,"Alpharetta, GA 30005",
174,Pivotal Software,Product Manager (Pivotal Labs),"Atlanta, GA",
175,Bank of America,Quantitative Finance Analyst,"Atlanta, GA",
176,KPMG,"Manager, Tax Technology - Data Analytics Machine Learning","Atlanta, GA 30338",
177,Bank of America,CIG Quantitative Financial Analyst,"Atlanta, GA",
178,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
179,Predictive Science,Data Scientist,United States,
180,Cox Automotive,Data Scientist,"Atlanta, GA",
181,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
182,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
183,Oak Ridge Associated Universities,Systematic Review Faculty Research Position - CDC,"Atlanta, GA",
184,Strive Consulting LLC,Mid/Sr Data Scientist,"Atlanta, GA",
185,Oversight Systems,Demand Creation Associate,"Atlanta, GA",
186,KPMG,Sr Associate - Data Scientist,"Atlanta, GA 30338",
187,Georgia Tech Research Institute,Quantum Info Science Experimentalist ACL-1163,"Atlanta, GA 30318 (Rockdale area)",
188,Dian Fossey Gorilla Fund International,Community Engagement Manager,"Atlanta, GA",
189,Oak Ridge Associated Universities,Policy Research Analyst Fellowship--CDC,"Atlanta, GA",
190,Georgia Tech Research Institute,Science / Engineering (Entry Level) - ELSYS 1222,"Atlanta, GA 30318 (Rockdale area)",
191,AB Sciex Pte,Field Service Engineer,"Atlanta, GA",
192,Battelle,Quality Assurance Specialist,"Atlanta, GA 30309 (Midtown area)",
193,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
194,Predictive Science,Data Scientist,United States,
195,Cox Automotive,Data Scientist,"Atlanta, GA",
196,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
197,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
198,Pindrop,Research Scientist - Audio | Fluent Portuguese,"Atlanta, GA",
199,ADP,Application Developer,"Alpharetta, GA 30005",
