,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price per Liter mean,Zip Code,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
431,4119,CEDAR FALLS,7169.42,183.831282051,7,19.5919413919,50613,403.0,10.3333333333,61.2969230769,438.12,1251.48,2015-01-12,2016-03-21
432,4125,WAPELLO,5688.35,44.7901574803,58,13.4723322085,52653,500.48,3.94078740157,14.9498425197,1558.2,3404.34,2015-01-07,2016-03-30
433,4126,SOLON,15522.81,146.441603774,52,15.9795867026,52333,1079.75,10.1863207547,48.8318867925,2272.26,2943.92,2015-01-06,2015-01-13
434,4129,AMES,68035.93,67.4959623016,85,23.0842083301,50010,3370.91,3.34415674603,22.5586507937,13513.26,2148.52,2015-01-07,2016-03-30
435,4130,KEOSAUQUA,3319.86,144.34173913,89,14.9772049689,52565,231.0,10.0434782609,48.3313043478,777.48,3916.32,2015-01-05,2016-03-28
436,4131,URBANDALE,15754.21,152.953495146,77,16.1964863615,50322,1021.75,9.91990291262,51.0853398058,2556.12,1040.1,2015-01-08,2016-03-31
437,4132,CAMANCHE,11899.99,105.309646018,23,15.3060865306,52730,943.89,8.35300884956,35.1375221239,3068.34,790.5,2015-01-07,2016-03-30
438,4133,WEBSTER CITY,5658.12,87.048,40,14.5622252747,50595,493.87,7.598,29.35,1332.11,2092.25,2015-01-06,2016-03-29
439,4134,PLEASANTVILLE,6911.46,50.8195588235,63,16.260744923,50225,575.91,4.23463235294,16.9826470588,2297.63,5419.97,2015-01-08,2015-05-14
440,4135,ALTOONA,23304.54,298.776153846,77,16.0956288156,50009,1676.0,21.4871794872,100.022564103,2049.99,2487.56,2015-01-07,2016-03-30
441,4136,GRIMES,16230.81,170.850631579,77,15.8564110276,50111,1136.1,11.9589473684,57.1767368421,3001.86,2532.06,2015-01-08,2016-03-31
442,4137,WAUKEE,15861.67,107.902517007,25,16.2617946226,50263,1148.0,7.80952380952,36.1644217687,3254.36,2167.16,2015-01-06,2016-03-15
